epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,88.4898,0.50896,0.5223,0.92059,0.98648,0.66667,0.995,0.91991,0.5134,0.87612,0.91835,0.000430712,0.000430712,0.000430712
159,89.0144,0.58175,0.58198,0.95469,0.66667,1,0.995,0.90943,0.64884,0.88442,0.95995,0.000429475,0.000429475,0.000429475
160,89.5296,0.61104,0.61059,0.95595,0.98574,0.66667,0.995,0.94204,0.39424,0.82344,0.90227,0.000428237,0.000428237,0.000428237
161,90.0497,0.49352,0.54086,0.91501,0.98221,0.66667,0.995,0.92867,0.43501,0.84487,0.91516,0.000427,0.000427,0.000427
162,90.6063,0.50172,0.50213,0.9177,0.97127,0.66667,0.995,0.96713,0.45163,0.8625,0.91898,0.000425762,0.000425762,0.000425762
163,91.1229,0.52849,0.51307,0.89391,0.97573,0.66667,0.995,0.96183,0.44482,0.81747,0.92032,0.000424525,0.000424525,0.000424525
164,91.6509,0.46993,0.49268,0.90369,0.98401,0.66667,0.995,0.94841,0.44885,0.7223,0.92372,0.000423288,0.000423288,0.000423288
165,92.338,0.52207,0.51581,0.94443,0.98595,0.66667,0.995,0.96183,0.44889,0.76596,0.92648,0.00042205,0.00042205,0.00042205
166,93.0224,0.51365,0.52178,0.91494,0.98296,0.66667,0.995,0.96183,0.44928,0.80148,0.93068,0.000420812,0.000420812,0.000420812
167,93.7113,0.51471,0.51215,0.90459,0.9858,0.66667,0.995,0.96183,0.44687,0.85461,0.93185,0.000419575,0.000419575,0.000419575
168,94.4002,0.48997,0.50203,0.91472,0.98417,0.66667,0.995,0.8955,0.54925,0.87276,0.92915,0.000418337,0.000418337,0.000418337
169,95.0813,0.50154,0.52007,0.92968,0.61111,1,0.995,0.83598,0.87158,0.92864,1.00648,0.0004171,0.0004171,0.0004171
170,95.7628,0.44599,0.48304,0.86878,0.99563,0.66667,0.995,0.74304,1.19542,1.04364,1.18972,0.000415862,0.000415862,0.000415862
171,96.4537,0.45135,0.4817,0.90388,0.61111,1,0.995,0.70331,1.22981,1.09022,1.20751,0.000414625,0.000414625,0.000414625
172,97.109,0.48545,0.50538,0.92773,0.61111,1,0.995,0.72129,1.0943,1.11287,1.13146,0.000413387,0.000413387,0.000413387
173,97.7785,0.48773,0.4824,0.91934,0.79167,1,0.995,0.73663,1.05427,1.04536,1.12755,0.00041215,0.00041215,0.00041215
174,98.3401,0.48326,0.48105,0.89043,0.66667,1,0.995,0.84218,0.59805,0.93453,0.92456,0.000410913,0.000410913,0.000410913
175,99.0248,0.46268,0.48363,0.89719,0.7,1,0.995,0.95308,0.43192,0.91969,0.88933,0.000409675,0.000409675,0.000409675
176,99.6731,0.46412,0.4529,0.90554,0.98601,0.66667,0.995,0.94204,0.4809,0.9086,0.90253,0.000408438,0.000408438,0.000408438
177,100.332,0.44854,0.47544,0.89404,0.9865,0.66667,0.995,0.95364,0.41327,0.87011,0.89709,0.0004072,0.0004072,0.0004072
178,100.95,0.46424,0.49333,0.89007,0.98678,0.66667,0.995,0.9674,0.37373,0.93693,0.91439,0.000405963,0.000405963,0.000405963
179,101.636,0.45997,0.47704,0.90639,0.9853,0.66667,0.995,0.93515,0.43025,0.9287,0.92994,0.000404725,0.000404725,0.000404725
180,102.279,0.41834,0.42324,0.8738,0.98319,0.66667,0.66333,0.597,0.45217,0.9515,0.92251,0.000403488,0.000403488,0.000403488
181,102.817,0.48467,0.47766,0.9011,0.97935,0.66667,0.995,0.93515,0.43005,0.89025,0.90982,0.00040225,0.00040225,0.00040225
182,103.505,0.47471,0.49271,0.92226,0.64473,0.66667,0.66333,0.597,0.43172,0.9019,0.91457,0.000401012,0.000401012,0.000401012
183,104.154,0.43443,0.44215,0.88677,0.64824,0.66667,0.66333,0.63017,0.36408,0.947,0.90838,0.000399775,0.000399775,0.000399775
